Signatures	Published year	Journal	Title	PMID	DOI
B_cells_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
T_cells_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
T_helper_cells_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Tcm_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Tem_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Th1_cells_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Th2_cells_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Th17_cells_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Treg_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
TFH_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
T_cell_probe_Jeschke_et_al	2017	The Journal of Clinical Investigation	DNA Methylation-Based Immune Response Signature Improves Patient Diagnosis in Multiple Cancers	28714863	10.1172/JCI91095
MeTIL_Jeschke_et_al	2017	The Journal of Clinical Investigation	DNA Methylation-Based Immune Response Signature Improves Patient Diagnosis in Multiple Cancers	28714863	10.1172/JCI91095
TIP_Release_of_cancer_cell_antigens	2018	Cancer Research	TIP: A Web Server for Resolving Tumor Immunophenotype Profiling	30154154	10.1158/0008-5472.CAN-18-0689
TIP_Cancer_antigen_presentation_1	2018	Cancer Research	TIP: A Web Server for Resolving Tumor Immunophenotype Profiling	30154154	10.1158/0008-5472.CAN-18-0689
TIP_Cancer_antigen_presentation_2	2018	Cancer Research	TIP: A Web Server for Resolving Tumor Immunophenotype Profiling	30154154	10.1158/0008-5472.CAN-18-0689
TIP_Priming_and_activation_1	2018	Cancer Research	TIP: A Web Server for Resolving Tumor Immunophenotype Profiling	30154154	10.1158/0008-5472.CAN-18-0689
TIP_Priming_and_activation_2	2018	Cancer Research	TIP: A Web Server for Resolving Tumor Immunophenotype Profiling	30154154	10.1158/0008-5472.CAN-18-0689
TIP_Trafficking_of_immune_cells_to_tumors	2018	Cancer Research	TIP: A Web Server for Resolving Tumor Immunophenotype Profiling	30154154	10.1158/0008-5472.CAN-18-0689
TIP_Infiltration_of_immune_cells_into_tumors_1	2018	Cancer Research	TIP: A Web Server for Resolving Tumor Immunophenotype Profiling	30154154	10.1158/0008-5472.CAN-18-0689
TIP_Infiltration_of_immune_cells_into_tumors_2	2018	Cancer Research	TIP: A Web Server for Resolving Tumor Immunophenotype Profiling	30154154	10.1158/0008-5472.CAN-18-0689
TIP_Recognition_of_cancer_cells_by_T_cells_1	2018	Cancer Research	TIP: A Web Server for Resolving Tumor Immunophenotype Profiling	30154154	10.1158/0008-5472.CAN-18-0689
TIP_Recognition_of_cancer_cells_by_T_cells_2	2018	Cancer Research	TIP: A Web Server for Resolving Tumor Immunophenotype Profiling	30154154	10.1158/0008-5472.CAN-18-0689
TIP_Killing_of_cancer_cells_1	2018	Cancer Research	TIP: A Web Server for Resolving Tumor Immunophenotype Profiling	30154154	10.1158/0008-5472.CAN-18-0689
TIP_Killing_of_cancer_cells_2	2018	Cancer Research	TIP: A Web Server for Resolving Tumor Immunophenotype Profiling	30154154	10.1158/0008-5472.CAN-18-0689
TLS_Nature	2020	Nature	Tertiary lymphoid structures improve immunotherapy and survival in melanoma	31942071	10.1038/s41586-019-1914-8
TMEscoreA_plus	2021	Journal for ImmunoTherapy of Cancer	Tumor microenvironment evaluation promotes precise checkpoint immunotherapy of advanced gastric cancer	34376552	10.1136/jitc-2021-002467
TMEscoreB_plus	2021	Journal for ImmunoTherapy of Cancer	Tumor microenvironment evaluation promotes precise checkpoint immunotherapy of advanced gastric cancer	34376552	10.1136/jitc-2021-002467
Cardiolipin_Metabolism	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Cardiolipin_Biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Cholesterol_Biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Citric_Acid_Cycle	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Cyclooxygenase_Arachidonic_Acid_Metabolism	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Prostaglandin_Biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Purine_Biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Pyrimidine_Biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Dopamine_Biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Epinephrine_Biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Norepinephrine_Biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Fatty_Acid_Degradation	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Fatty_Acid_Elongation	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Fatty_Acid_Biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Folate_One_Carbon_Metabolism	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Folate_biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Gluconeogenesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Glycolysis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Glycogen_Biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Glycogen_Degradation	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Heme_Biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Hexosamine_Biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Homocysteine_Biosynthesis	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Remethylation	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Transsulfuration	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Ketone_Biosynthesis_and_Metabolism	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Kynurenine_Metabolism	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Methionine_Cycle	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Pentose_Phosphate	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
Nicotinamide_Adenine_Metabolism	2018	Nature Communication	Pan-cancer analysis of transcriptional metabolic dysregulation using The Cancer Genome Atlas	30552315	10.1038/s41467-018-07232-8
