MGI.symbol,HGNC.symbol
Ptgis,PTGIS
Chm,CHM
Klf8,KLF8
Chrna9,CHRNA9
Akap5,AKAP5
Cdc42bpb,CDC42BPB
Magee1,MAGEE1
Pde9a,PDE9A
Tenm1,TENM1
Mcm3ap,MCM3AP
Dhx15,DHX15
Atg2b,ATG2B
Abhd12,ABHD12
Cfap410,CFAP410
Raly,RALY
Bmp4,BMP4
Dhx35,DHX35
Bmp7,BMP7
Adgrg2,ADGRG2
Frem2,FREM2
Tbc1d4,TBC1D4
Riok3,RIOK3
Stk35,STK35
Sirpa,SIRPG
Psen1,PSEN1
Pla2g3,PLA2G3
Dennd6b,DENND6B
Sall4,SALL4
Psmc1,PSMC1
Pcdh17,PCDH17
Kcnh5,KCNH5
Snx6,SNX6
Bpifb2,BPIFB2
Cct8,CCT8
Sel1l3,SEL1L3
Acss1,ACSS1
Vstm2l,VSTM2L
Svs3a,SEMG2
Svs3a,SEMG1
Bmp2,BMP2
Hmgb3,HMGB3
Lrrn4,LRRN4
H2ap,H2AP
Tbc1d14,TBC1D14
Cybb,CYBB
Kcnip4,KCNIP4
Wfdc5,WFDC5
Pcdh8,PCDH8
Tasp1,TASP1
Optn,OPTN
Pigg,PIGG
Jkamp,JKAMP
Celf4,CELF4
Ppp1r16b,PPP1R16B
Crmp1,CRMP1
Cby2,CBY2
Tmem33,TMEM33
Tbc1d8b,TBC1D8B
Sec23b,SEC23B
Cbln2,CBLN2
Spata13,SPATA13
Six4,SIX4
Tmx3,TMX3
Wdr4,WDR4
Lrr1,LRR1
Smarca2,SMARCA2
Klhl13,KLHL13
Mthfd1,MTHFD1
App,APP
Jag1,JAG1
Dnajc15,DNAJC15
Slc25a5,SLC25A5
Erich6b,ERICH6B
Pole2,POLE2
Morc3,MORC3
Fam3b,FAM3B
Atp5a1,ATP5F1A
Galr1,GALR1
Upf2,UPF2
Mrpl39,MRPL39
Slain2,SLAIN2
Mxd4,MXD4
Mex3c,MEX3C
Pir,PIR
Vpreb3,VPREB3
Wdr1,WDR1
Pwp2,PWP2
Klf5,KLF5
Zc4h2,ZC4H2
Cstdc2,CST9L
Slc25a29,SLC25A29
Drg1,DRG1
Xkrx,XKRX
Itgb2l,ITGB2
Zfp397,ZNF397
Mrap,MRAP
Elp2,ELP2
Cfap298,CFAP298
Cfap298,CFAP298-TCP10L
Fbxo7,FBXO7
Rem1,REM1
Bex2,BEX1
Pfkfb3,PFKFB3
Slc25a15,SLC25A15
Spry2,SPRY2
Cacna1i,CACNA1I
Uchl1,UCHL1
Ufm1,UFM1
Zbtb7c,ZBTB7C
Chst7,CHST7
Cd274,CD274
Slc17a9,SLC17A9
Mc3r,MC3R
Pfkl,PFKL
Wdr44,WDR44
Phlpp1,PHLPP1
Slc25a51,SLC25A52
Flt1,FLT1
Dlg3,DLG3
Glud1,GLUD2
Zbed4,ZBED4
Lgals2,LGALS2
Cenpc1,CENPC
Cd226,CD226
Ak3,AK3
Rnf114,RNF114
Qdpr,QDPR
Pcgf3,PCGF3
Egln3,EGLN3
Serpina7,SERPINA7
Sfi1,SFI1
Kcns1,KCNS1
Scel,SCEL
Trp53tg5,TP53TG5
Rbpjl,RBPJL
Clec14a,CLEC14A
Eya2,EYA2
Psmg2,PSMG2
Fscb,FSCB
Evc,EVC
Wnt7b,WNT7B
Agpat3,AGPAT3
L3hypdh,L3HYPDH
Corin,CORIN
Ccdc3,CCDC3
Vsig4,VSIG4
Slc19a1,SLC19A1
Ahcy,AHCY
Eola1,EOLA2
Eola1,EOLA1
Rln1,RLN1
Nufip1,NUFIP1
Sptssa,SPTSSA
Dym,DYM
Lman1,LMAN1
Bpifa3,BPIFA3
Dlgap1,DLGAP1
Psip1,PSIP1
Smpx,SMPX
Usp27x,USP27X
Ccbe1,CCBE1
Mgat2,MGAT2
Setd4,SETD4
Drd5,DRD5
Txnl1,TXNL1
Echdc3,ECHDC3
Cntln,CNTLN
Pdyn,PDYN
Pmepa1,PMEPA1
Ift27,IFT27
Tmem184b,TMEM184B
Rhoj,RHOJ
Brs3,BRS3
Fam110a,FAM110A
Acox3,ACOX3
Otc,OTC
Smu1,SMU1
Slc2a9,SLC2A9
Rnf38,RNF38
Impa2,IMPA2
Patz1,PATZ1
Prr5,PRR5
Pofut2,POFUT2
Smad2,SMAD2
4930447C04Rik,C14orf39
Elf1,ELF1
Dnajc5,DNAJC5
Gpr33,GPR33
Tpte,TPTE
Osbp2,OSBP2
Cyth4,CYTH4
Wfdc12,WFDC12
Ucma,UCMA
1810030O07Rik,CXorf38
Tm9sf2,TM9SF2
Pcbp3,PCBP3
Scp2d1,SCP2D1
Prkx,PRKX
Pof1b,POF1B
C2cd2,C2CD2
Zfyve1,ZFYVE1
Ubash3a,UBASH3A
Urb1,URB1
Cst8,CST8
Haus6,HAUS6
Pibf1,PIBF1
Phactr3,PHACTR3
Fundc1,FUNDC1
Ankrd54,ANKRD54
Thoc2,THOC2
Gpr12,GPR12
Rsph1,RSPH1
Edem2,EDEM2
Tmx1,TMX1
Atrn,ATRN
Psmd10,PSMD10
Rprd1a,RPRD1A
Gm1123,CXADR
Spata7,SPATA7
Cldn14,CLDN14
Mospd2,MOSPD2
Otud6a,OTUD6A
Hunk,HUNK
H2al1o,H2AL3
Bpi,BPI
Cldn17,CLDN17
Jam2,JAM2
Gm18596,KRTAP10-6
Gm18596,KRTAP10-11
Ighv3-4,IGHV4-34
Xlr5c,FAM9B
Xlr5c,FAM9C
Xlr5c,FAM9A
Cylc1,CYLC1
Zfp78,ZNF337
Zfp78,KRBOX4
Pfdn4,PFDN4
Gm25512,RNU6-228P
Insm1,INSM1
Zfp280b,ZNF280B
Pou3f4,POU3F4
Ldoc1,LDOC1
H2al2c,H2AL3
Pkdrej,PKDREJ
6430550D23Rik,C20orf173
Ighv1-62-3,IGHV1OR21-1
Ighv1-31,IGHV1OR21-1
Gm25401,RNU6-1326P
Gpr50,GPR50
Ighv14-2,IGHV1OR21-1
Ninl,NINL
Brwd3,BRWD3
Ighv14-1,IGHV1OR21-1
8030462N17Rik,C18orf25
Ighv1-4,IGHV1OR21-1
Gm22766,RNU6-1278P
Rpp38,RPP38
Gm10318,KRTAP10-6
Gm10318,KRTAP10-11
Gm22701,RN7SL116P
Dcc,DCC
Mppe1,MPPE1
Cbr1,CBR1
Ifna13,IFNA16
Ifna13,IFNA2
Ifna13,IFNA6
Ifna13,IFNA13
Ifna13,IFNA7
Ifna13,IFNA17
Osm,OSM
Cep128,CEP128
H2al1b,H2AL3
H2al1k,H2AL3
Gm24989,SNORD86
Pign,PIGN
Cryzl1,CRYZL1
Ighv1-53,IGHV1OR21-1
Zbtb14,ZBTB14
Sh3bp2,SH3BP2
Gm25818,RNU1-98P
Defb23,DEFB129
Rp2,RP2
Thoc2l,THOC2
Bex1,BEX1
Gm19668,KRTAP10-6
Gm19668,KRTAP10-11
H2al1n,H2AL3
Ighv1-62-1,IGHV1OR21-1
Hs3st1,HS3ST1
Ighv1-80,IGHV1OR21-1
Tcp10c,TCP10L
Gm7145,ZNF519
Ighv1-56,IGHV1OR21-1
Rnf152,RNF152
Taf4b,TAF4B
Ercc6l,ERCC6L
Asmt,ASMT
Parp4,PARP4
Ighv1-34,IGHV1OR21-1
Akain1,AKAIN1
Msx1,MSX1
Krtap12-1,KRTAP10-6
Lrrc3,LRRC3
Svs3b,SEMG2
Svs3b,SEMG1
Gm7138,KRTAP10-6
Gm7138,KRTAP10-11
4932429P05Rik,PPP4R3C
Gm14692,FAM9B
Gm14692,FAM9C
Gm14692,FAM9A
Ighv1-69,IGHV1OR21-1
Gm9112,FAM236B
Gm9112,FAM236C
H2al2a,H2AL3
2610021A01Rik,ZNF519
Cdh19,CDH19
Gm23199,RNU6-147P
Tbc1d22a,TBC1D22A
Mageh1,MAGEH1
Ighv1-39,IGHV1OR21-1
Tgif2lx1,TGIF2LX
Gm23093,RNU6-1242P
H2al1f,H2AL3
Mtap,MTAP
Il1rapl1,IL1RAPL1
Ighv1-20,IGHV1OR21-1
Mir1a-1,MIR1-1
Mir1a-2,MIR1-2
Gm26224,SNORD74B
Ighv1-19,IGHV1OR21-1
Gm49918,KRTAP10-6
Gm49918,KRTAP10-11
Ighv1-9,IGHV1OR21-1
Pcdh20,PCDH20
Ifna4,IFNA16
Ifna4,IFNA2
Ifna4,IFNA6
Ifna4,IFNA13
Ifna4,IFNA7
Ifna4,IFNA17
Gm24374,RNU6-123P
1700011M02Rik,FAM236B
1700011M02Rik,FAM236C
Gm22540,RNU6-1242P
Bpifb3,BPIFB3
H2al1m,H2AL3
Tceal7,TCEAL7
Tceal5,TCEAL5
Krtap13-1,KRTAP13-1
Krtap13-1,KRTAP13-2
Gm45015,PNMA6F
Gm45015,PNMA6E
Gm9736,KRTAP10-6
Gm9736,KRTAP10-11
Ccnb3,CCNB3
Ifna5,IFNA16
Ifna5,IFNA2
Ifna5,IFNA6
Ifna5,IFNA13
Ifna5,IFNA7
Ifna5,IFNA17
Mir187,MIR187
Thbd,THBD
Tnrc6b,TNRC6B
Gm23025,RNU6-992P
Nrip1,NRIP1
Slc5a3,SLC5A3
Eif2s2,EIF2S2
Ighv1-24,IGHV1OR21-1
Ighv1-62-2,IGHV1OR21-1
Pwwp4c,PWWP4
Dsg3,DSG3
Gm4756,DHRS7
Rtl5,RTL5
Krtap26-1,KRTAP26-1
Lurap1l,LURAP1L
H2al1h,H2AL3
Tcp10a,TCP10L
Gm7137,KRTAP10-6
Gm7137,KRTAP10-11
Ighv1-49,IGHV1OR21-1
Krtap1-4,KRTAP10-11
Mir99a,MIR99A
Ifna11,IFNA16
Ifna11,IFNA2
Ifna11,IFNA6
Ifna11,IFNA13
Ifna11,IFNA7
Ifna11,IFNA17
Tnip2,TNIP2
Slc35e4,SLC35E4
Defb26,DEFB125
Dscam,DSCAM
Wfdc9,WFDC9
Sirpb1b,SIRPG
Defb19,DEFB119
Prr14l,PRR14L
Gm24788,RNU1-134P
Ppp1r3d,PPP1R3D
Iglc2,IGLC2
Iglc2,IGLL5
Iglc2,IGLL1
Iglc2,IGLC3
Iglc2,IGLC1
Krtap14,KRTAP13-3
Cst7,CST7
Akap6,AKAP6
Gm3285,KRTAP10-6
Gm3285,KRTAP10-11
Ighv1-66,IGHV1OR21-1
Rpl3,RPL3
Gm28168,ZNF519
Mok,MOK
Gm25913,SCARNA17
Tecrl,TECRL
Sytl5,SYTL5
Dgat2l6,DGAT2L6
Enthd1,ENTHD1
Gm24521,RNU6-435P
Nxf3,NXF3
Vapb,VAPB
Gm4924,ZNF721
Kl,KL
Ighv3-3,IGHV4-34
H2al1a,H2AL3
Trdc,TRDC
Rimbp3,RIMBP3
Pwwp4b,PWWP4
Gm49325,SUMO3
Gm23378,RNU6-408P
Snord58b,SNORD58B
Tlr6,TLR6
Ttr,TTR
Rit2,RIT2
Rnf212,RNF212
Defb21,DEFB118
H2al1j,H2AL3
Ripor3,RIPOR3
Pwwp4d,PWWP4
Gm40460,KRTAP10-6
Gm40460,KRTAP10-11
Gm527,C14orf28
Sirpb1c,SIRPG
Ighv1-71,IGHV1OR21-1
Mn1,MN1
Ighv1-22,IGHV1OR21-1
Cep76,CEP76
Cfap99,CFAP99
